Ticker,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,JNJ,JNJ,JNJ,JPM,JPM,JPM,META,META,META,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,TSLA,TSLA,TSLA
Price,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume,Adj Close,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-09,214.38291931152344,216.24000549316406,42201600,166.94000244140625,166.94000244140625,36401000,152.63270568847656,160.6199951171875,4579200,198.39146423339844,205.8000030517578,5540200,514.794189453125,517.77001953125,13696600,400.6036071777344,406.0199890136719,19276700,104.69952392578125,104.75,290844200,200.0,200.0,58648300
2024-08-12,215.9114532470703,217.52999877929688,38028100,166.8000030517578,166.8000030517578,30072800,151.92950439453125,159.8800048828125,7605400,198.76744079589844,206.19000244140625,6936000,512.984619140625,515.9500122070312,9767400,401.383056640625,406.80999755859375,16762900,108.96746063232422,109.0199966430664,325559900,197.49000549316406,197.49000549316406,64044900
2024-08-13,219.62364196777344,221.27000427246094,44155300,170.22999572753906,170.22999572753906,39237900,150.51361083984375,158.38999938964844,9711400,200.45443725585938,207.94000244140625,6387800,525.5022583007812,528.5399780273438,13743800,408.4870300292969,414.010009765625,19414300,116.08403015136719,116.13999938964844,312646700,207.8300018310547,207.8300018310547,76247400
2024-08-14,220.07029724121094,221.72000122070312,41960600,170.10000610351562,170.10000610351562,28843800,150.59912109375,158.47999572753906,5141200,202.671630859375,210.24000549316406,6999800,523.732421875,526.760009765625,11444200,411.2989501953125,416.8599853515625,18267000,118.02308654785156,118.08000183105469,339246400,201.3800048828125,201.3800048828125,70250000
2024-08-15,223.04795837402344,224.72000122070312,46414000,177.58999633789062,177.58999633789062,51698500,151.17880249023438,159.08999633789062,7237800,203.9344940185547,211.5500030517578,7001000,534.2417602539062,537.3300170898438,13482100,416.1621398925781,421.0299987792969,20752100,122.80079650878906,122.86000061035156,318086700,214.13999938964844,214.13999938964844,89848500
2024-08-16,224.36805725097656,226.0500030517578,44340200,177.05999755859375,177.05999755859375,31489200,151.46388244628906,159.38999938964844,5012800,206.26734924316406,213.97000122070312,7931200,524.3886108398438,527.4199829101562,14776700,413.6317138671875,418.4700012207031,22775600,124.51995849609375,124.58000183105469,302589900,216.1199951171875,216.1199951171875,88765100
2024-08-19,224.20925903320312,225.88999938964844,40687800,178.22000122070312,178.22000122070312,31129800,151.69192504882812,159.6300048828125,4408400,207.69406127929688,215.4499969482422,6090800,526.238037109375,529.280029296875,9879700,416.65631103515625,421.5299987792969,15234000,129.93734741210938,130.0,318333600,222.72000122070312,222.72000122070312,76435200
2024-08-20,224.82464599609375,226.50999450683594,30299000,178.8800048828125,178.8800048828125,26255200,152.19558715820312,160.16000366210938,7275100,206.79757690429688,214.52000427246094,5640000,523.70263671875,526.72998046875,7944400,419.8885192871094,424.79998779296875,16387600,127.18868255615234,127.25,300087400,221.10000610351562,221.10000610351562,74001200
2024-08-21,224.7154541015625,226.39999389648438,34765500,180.11000061035156,180.11000061035156,35599100,153.4024200439453,161.42999267578125,5019400,206.8746795654297,214.60000610351562,5202300,532.0841064453125,535.1599731445312,13423300,419.23614501953125,424.1400146484375,16067300,128.4380645751953,128.5,257883600,223.27000427246094,223.27000427246094,70146000
2024-08-22,222.859375,224.52999877929688,43695300,176.1300048828125,176.1300048828125,32047500,154.2766876220703,162.35000610351562,6552100,208.8316192626953,216.6300048828125,5247100,528.8727416992188,531.9299926757812,15708300,410.74542236328125,415.54998779296875,19361900,123.68036651611328,123.73999786376953,376189100,210.66000366210938,210.66000366210938,79514500
